,co_name,symbol,market,asset,co_site,amplitude,pe_s_d,co_intro,sc,prospectus,co_tel,exchange,co_addr,mv,equity,industry,turnover,oo,pb_MRQ
7337,Echo Global Logistics,ECHO,US,-,-,-,-,"Echo is a leading provider of technology enabled business process outsourcing, serving the transportation and logistics needs",-,-,-,NASDAQ,-,-,-,货车运输,-,-,-
7338,新西兰ETF-iShares MSCI,ENZL,US,-,-,0.34%,-/-,"ENZL,黑石联手安硕推出的新西兰ETF，该ETF正向追踪MSCI New Zealand IMI 25/50指数，其标的成分为在新西兰证券交易所上市交易的股票。更多资料可查询：https://www.etf.com/ENZL",-,-,-,NASDAQ,-,1.50亿,345.00万,-,1.34%,-,-
7339,荷兰ETF-iShares MSCI,EWN,US,-,-,0.61%,-/51.82,"EWN,黑石联手安硕推出的荷兰ETF，该ETF正向追踪MSCI Netherlands Investable Market 指数，标的成分为在阿姆斯特丹证券交易所上市交易的股票，倾向于投资必需消费品、工业及金融类公司。更多资料可查询：https://www.etf.com/EWN",-,-,-,NYSE,-,1.88亿,635.00万,-,2.53%,0.01%,-
7340,PH格拉特费尔,GLT,US,15.35,-,2.65%,12.90/47.66,-,4.47,-,-,NYSE,-,7.89亿,4355.80万,造纸业,0.28%,89.43%,1.20
7341,高盛-优先股I,GS-I,US,-,-,0.32%,-/-,-,-,-,-,NYSE,-,8.82亿,3400.00万,-,0.08%,-,-
7342,PowerShares S&P Intl Dev Hi Qual ETF,IDHQ,US,-,-,0.22%,-/-,-,-,-,-,NYSE,-,2353.05万,105.00万,-,0.03%,-,-
7343,ING Groep N.V.,ISG,US,-,-,0.12%,-/21.82,-,-,-,-,NYSE,-,7.27亿,2800.00万,-,0.08%,0.01%,1.85
7344,iShares Russell Top 200,IWL,US,-,-,0.11%,-/-,-,-,-,-,NYSE,-,1.10亿,200.00万,-,0.13%,-,-
7345,财迷ETF-Dhandho Junoon,JUNE,US,-,-,0.15%,-/-,-,-,-,-,NYSE,-,331.22万,12.70万,-,0.55%,-,-
7346,Lifevantage,LFVN,US,0.98,-,4.07%,6.25/16.08,-,5.96,-,-,NASDAQ,-,5949.23万,1423.30万,-,0.45%,11.00%,4.27
7347,美国联合能源,LNT,US,17.10,-,2.33%,19.01/24.62,-,3.65,-,-,NYSE,-,92.00亿,2.28亿,-,1.07%,57.82%,2.36
7348,罗技,LOGI,US,5.18,-,0.82%,15.78/31.78,罗技(Logitech International SA ，NASDAQ：LOGI)成立于1982年，是全球最著名的电脑周边设备供应商，特别是鼠标设备最为著名；世界排名前20位的电脑厂商都是它的客户。,25.16,-,-,NASDAQ,-,57.06亿,1.62亿,计算机外围设备,0.18%,28.88%,6.81
7349,Life Time Fitness,LTM,US,6.99,-,1.26%,18.69/85.77,-,4.10,-,-,NYSE,-,67.61亿,6.06亿,体育活动,0.02%,9.89%,1.60
7350,LyondellBasell,LYB,US,16.04,http://www.lyondellbasell.com,1.95%,11.03/9.18,"利安德巴塞尔工业公司是世界上最大的聚合物、石化产品和燃油公司之一。是全球聚烯烃技术、生产和市场的领导者；是环氧丙烷及其衍生物的先驱；燃油及其精炼产品，包括生物燃料的重要生产商。通过研发，利安德巴塞尔公司开发了创新型的材料和技术，带来特殊顾客价值和产品，为全世界人民提高了生活质量。利安德巴塞尔公公司总部设在荷兰，是Access Industries公司的私有公司。

　　利安德巴塞尔工业为满足不同客户不断变化的各种需求而致力于持续不断的研究和发展的各种项目，包括新的催化剂、工艺和产品的不断创新。利安德巴塞尔产品实际上被全球市场所广泛采用来生产出无法计数的货物和产品，从而提升了世界各族人民的生活质量。

　　利安德巴塞尔工业清楚的认识到在社区中做一个负责任的守法公民的重要性。 利安德巴塞尔工业致力于在最高要求的正直、良知和责任感以及最高标准的责任关怀下来运行企业。

　　利安德巴塞尔工业的产品在提升人们的生活品质中起到了非常重要的作用。",3.30,-,31 10 275 5500,NYSE,"Weena 737 Rotterdam, 3013 AM",324.54亿,4.03亿,-,0.62%,76.00%,5.02
7351,Mednax Services,MD,US,29.91,-,1.58%,20.02/16.26,-,12.96,-,-,NYSE,-,50.67亿,9301.60万,-,0.54%,98.91%,1.82
7352,TORTOISE ENERGY INDEPENDENC,NDP,US,-,-,1.72%,-/-,-,-,-,-,NYSE,-,2.28亿,1453.70万,-,0.35%,-,-
7353,网侦系统,NTCT,US,26.51,-,2.35%,19.76/18.83,-,15.40,-,-,NASDAQ,-,33.18亿,9178.70万,商业软件及服务,0.51%,89.03%,1.36
7354,瑞德系统,R,US,38.83,-,1.52%,14.18/13.90,-,0.85,-,-,NYSE,-,34.24亿,5356.00万,租赁服务,2.01%,91.44%,1.65
7355,First Trust RiverFront Dynamic Developed International ETF,RFDI,US,-,-,0.28%,-/-,-,-,-,-,NASDAQ,-,1.63亿,270.00万,-,0.57%,-,-
7356,SOCKET MOBILE INC COM USD0.001,SCKT,US,2.91,-,8.05%,-/2.19,-,0.67,-,-,NASDAQ,-,2297.13万,596.70万,-,0.48%,0.82%,1.32
7357,JM Smucker ,SJM,US,62.19,-,1.09%,20.36/22.08,-,3.02,-,-,NYSE,-,147.83亿,1.16亿,食品加工,0.41%,59.87%,2.04
7358,SPDR Russell 2000 Low Volatility ETF,SMLV,US,-,-,0.94%,-/-,-,-,-,-,NYSE,-,2.08亿,230.00万,-,0.23%,-,-
7359,TARO PHARMACEUTICAL INDS LTD,TARO,US,48.73,-,4.06%,15.73/9.76,-,23.98,-,-,NYSE,-,44.27亿,4103.20万,-,0.31%,15.00%,2.21
7360,TheStreet.com,TST,US,1.16,http://www.thestreet.com/,5.26%,-/-,TheStreet.com是美国一家财经新闻网站，由电视脱口秀主持人吉姆克拉默（Jim Cramer）创办,1.39,-,-,NASDAQ,-,3316.41万,3566.00万,互联网信息提供商,0.09%,65.46%,0.79
7361,VIX中期做多-ProShares,VIXM,US,-,-,0.97%,-/-,-,-,-,-,NYSE,-,3260.03万,108.70万,-,0.96%,-,-
7362,房天下,SFUN,US,1.10,http://www.soufun.com/,4.21%,13.00/-,房天下成立于1999年，是中国房地产家居网络媒体和信息服务企业。房天下旗下拥有四大集团：搜房新房集团、搜房二手房集团、搜房家居集团、搜房研究集团（中国指数研究院）。房天下于2010年9月17日在纽交所挂牌交易，IPO共发行290万份ADS，每ADS发行价42.50美元（1ADS=4普通股），募资约1.247亿美元；本次发行主要为原有股东减持，搜房实际融资1000万美元。房天下于2011年2月18日实行拆股，1拆4，即分拆之后1ADS=1普通股,8.14,S1/F1,+86-10-5631 8659,NYSE,丰台区丰台科技园汉威国际广场5号楼,17.78亿,4.75亿,中国互联网信息服务,0.30%,177.18%,3.40
7363,劳埃德银行,LYG,US,3.22,http://www.lloydsbankinggroup.com,1.31%,29.54/95.50,劳埃德银行（Lloyds Banking ，也叫莱斯银行），是英国历史最悠久的银行，亦是伯明翰的第一家银行，成立于1765年。1995年莱德银行成功收购了英国信托储蓄银行（TSB）之后组成莱德TSB银行，成为英国最大的五家商业银行(巴克莱银行、汇丰银行、莱德银行、HBOS和国民西敏寺银行)之一。,1.11,-,-,NYSE,-,684.23亿,178.65亿,外国货币中心银行,0.01%,0.99%,1.19
7364,菲利普莫里斯,PM,US,-7.98,http://www.pmi.com/eng/pages/homepage.aspx,1.28%,17.94/25.71,菲利普·莫里斯公司（Philip Morris Companies Inc.简称PM）是当今世界第一大烟草公司，同时也是世界第二大食品制造商。主要经营烟草、食品、啤酒、金融房地产等业务，拥有五个主要经营子公司及其在世界各地的一百多家各种类型公司，业务遍及世界180多个国家和地区。,2.94,-,-,NYSE,-,1805.06亿,15.53亿,烟草,0.24%,71.00%,-14.59
7365,新兴市场ETF-Vanguard,VWO,US,-,-,0.34%,-/8.86,"VWO,Vanguard旗下的新兴市场ETF，该ETF正向追踪FTSE Emerging Markets All Cap China A Inclusion Index Net TR US RIC指数，标的成分包括中国大陆、巴西及印度等新兴市场的企业，倾向于投资金融、能源及科技类公司。更多资料可查询：https://www.etf.com/VWO",-,-,-,NYSE,-,546.94亿,13.44亿,-,0.69%,56.00%,-
7366,亚美特克,AME,US,14.79,-,0.71%,19.08/27.29,-,3.04,-,-,NYSE,-,139.40亿,2.30亿,工业电子器械,0.52%,84.69%,4.10
7367,Apogee Enterprises,APOG,US,16.41,-,1.65%,26.51/17.29,-,28.70,-,-,NASDAQ,-,14.82亿,2877.90万,通用建筑材料,0.60%,93.44%,3.15
7368,BlackRock Utility and Infrastructure Trust Common Shares of Beneficial Interest,BUI,US,-,-,1.75%,-/-,-,-,-,-,NYSE,-,3.47亿,1690.70万,-,0.37%,-,-
7369,凯雷集团,CG,US,4.69,http://www.carlyle.com/,1.96%,10.31/22.04,"凯雷投资集团创建于1987年，总部设立在美国首都华盛顿，是全球性另类资产管理公司，团队分布于非洲、亚洲、澳洲、欧洲、南美、中东及北美等多个国家和地区。

2012年5月3日，凯雷登陆纳斯达克，IPO发行3050万股，发行价22美元，融资6.7亿美元；摩根大通为其主承销商。",2.06,S1/F1,-,NASDAQ,-,58.43亿,3.25亿,资产管理,0.27%,62.00%,3.81
7370,卡帕史丹抵押,CMO,US,11.05,http://www.capstead.com/,1.53%,9.82/16.05,"Formed in 1985, Capstead’s experienced management team has over 80 years of combined mortgage finance industry experience.",4.36,-,-,NYSE,-,10.02亿,9606.30万,-,0.35%,80.60%,0.94
7371,世纪电信,CTL,US,24.24,-,1.56%,14.61/24.46,-,9.60,-,-,NYSE,-,136.93亿,5.49亿,国内电信服务,1.32%,70.23%,1.04
7372,DDR CORP,DDR-K,US,-,-,-,-/-,-,-,-,-,NYSE,-,1.50亿,600.00万,-,0.01%,-,-
7373,Dreyfus High Yield Strategies ,DHF,US,-,-,0.86%,-/7.73,-,-,-,-,NYSE,-,2.51亿,7208.00万,-,0.14%,1.31%,0.98
7374,智利ETF-iShares MSCI,ECH,US,-,-,0.98%,-/-,"ECH,黑石联手安硕推出的智利ETF，该ETF正向追踪MSCI Finland IMI 25/50指数，标的成分为在OM HEX证券交易所上市交易的大中型企业，倾向于投资工业、大宗商品及科技公司。更多资料可查询：https://www.etf.com/EFNL",-,-,-,NYSE,-,4.36亿,1020.00万,-,1.58%,-,-
7375,PowerShares Russell 2000 Equal Weight Portfolio,EQWS,US,-,-,-,-/-,-,-,-,-,NYSE,-,2150.83万,55.00万,-,0.06%,-,-
7376,第一富金融服务,FCFS,US,30.79,-,1.74%,17.73/28.36,"First Cash Financial Services, Inc. is a leading provider of specialty consumer financial services and related retail products. First Cash operates pawn stores and cash advance stores.",7.28,-,-,NYSE,-,26.30亿,4830.20万,信贷服务,0.35%,86.58%,1.77
7377,FirstEnergy,FE,US,13.84,-,0.95%,15.51/-,"FirstEnergy (NYSE: FE) is a diversified energy company dedicated to safety, reliability and operational excellence. Headquartered in Akron, Ohio, FirstEnergy comprises the nation's largest investor-owned electric system based on serving six million customers in the Midwest and Mid-Atlantic regions.",2.25,-,-,NYSE,-,126.20亿,4.44亿,公用电业,0.72%,71.45%,2.05
7378,金融科技ETF-Purefunds,FINQ,US,-,-,-,-/-,-,-,-,-,NASDAQ,-,137.24万,5.00万,-,-,-,-
7379,First Trust NASDAQ CEA Smartphone ETF,FONE,US,-,-,0.33%,-/-,-,-,-,-,NASDAQ,-,1471.81万,30.00万,-,0.25%,-,-
7380,"GAMCO Natural Resources, Gold & Income Trust",GNT,US,-,-,1.55%,-/-,-,-,-,-,NYSE,-,1.48亿,2086.50万,-,0.42%,-,-
7381,EAFE ETF汇率对冲-iShares,HEFA,US,-,-,0.39%,-/-,-,-,-,-,NYSE,-,43.23亿,1.51亿,-,0.65%,-,-
7382,希伦布兰德,HI,US,10.38,-,0.82%,14.85/19.06,-,7.38,-,-,NYSE,-,22.92亿,6297.60万,个人服务,0.20%,79.00%,3.51
7383,Hewlett Packard Enterprise Company,HPE*,US,-,-,-,-/-,-,-,-,-,NYSE,-,-,-,-,-,-,-
7384,海上麦斯服务,HZO,US,13.17,-,1.11%,28.37/21.49,-,6.85,-,-,NYSE,-,4.73亿,2621.90万,特色零售及其他,0.23%,97.60%,1.37
7385,信息服务,III,US,1.37,-,4.43%,22.68/-,-,4.55,-,-,NASDAQ,-,1.55亿,4304.90万,管理服务,0.18%,33.74%,2.69
7386,Summit Hotel,INN,US,10.92,-,1.14%,13.82/21.89,-,2.89,-,-,NYSE,-,18.25亿,1.04亿,-,1.55%,95.00%,1.60
7387,圣乔,JOE,US,8.86,-,2.86%,3.89/116.67,-,18.81,-,-,NYSE,-,12.59亿,7197.00万,房地产开发商,0.49%,100.50%,1.98
7388,约翰逊户外,JOUT,US,22.54,-,1.72%,20.06/19.38,-,2.08,-,-,NASDAQ,-,3.88亿,878.30万,体育用品,0.15%,64.81%,1.96
7389,美国产险ETF-PowerShares,KBWP,US,-,-,0.63%,-/-,-,-,-,-,NASDAQ,-,1.01亿,180.00万,-,0.36%,-,-
7390,MI 家居,MHO,US,25.15,-,2.00%,12.17/11.85,-,7.10,-,-,NYSE,-,7.08亿,2479.50万,居民住房建设,0.75%,105.59%,1.14
7391,American Capital Mortgage Invest,MTGE,US,19.58,-,1.39%,6.89/8.40,-,1.89,-,-,NASDAQ,-,8.27亿,4579.80万,-,0.47%,73.00%,0.92
7392,北欧石油信托,NRT,US,0.02,-,3.30%,-/10.85,-,1.26,-,-,NYSE,-,6679.72万,919.10万,多元化投资,0.26%,9.86%,360.00
7393,诺福克南方铁路运输,NSC,US,43.23,-,1.07%,15.76/19.65,-,1.48,-,-,NYSE,-,354.11亿,3.10亿,铁路运输,0.32%,60.00%,2.64
7394,欧麦斯-麦能医疗,OMI,US,15.85,-,1.18%,20.21/19.19,-,14.38,-,-,NYSE,-,19.73亿,6120.20万,医疗设备批发,0.76%,65.15%,2.03
7395,PowerShares FTSE RAFI US 1500 Sm-Mid ETF,PRFZ,US,-,-,0.70%,-/-,-,-,-,-,NASDAQ,-,16.09亿,1385.00万,-,0.12%,-,-
7396,RYMAN HOSPITALITY PPTYS INC,RHP,US,7.07,-,1.24%,36.92/19.91,-,3.92,-,-,NYSE,-,32.85亿,5108.90万,-,0.36%,93.69%,9.09
7397,新兴市场ETF-Schwab,SCHE,US,-,-,0.32%,-/-,-,-,-,-,NYSE,-,34.33亿,1.39亿,-,0.46%,-,-
7398,Stanley Black & Decker,SWK,US,44.53,-,0.74%,16.75/17.31,-,3.01,-,-,NYSE,-,207.19亿,1.53亿,机床及配件,0.17%,75.78%,3.04
7399,TWO RIV BANCORP,TRCB,US,12.28,-,1.20%,-/17.21,-,0.85,-,-,NASDAQ,-,1.47亿,839.40万,-,0.24%,2.72%,1.43
7400,美国房地产ETF-Vanguard,VNQ,US,-,-,0.56%,-/147.34,Vanguard不动产信托指数ETF（Vanguard REIT Index ETF）；投资于股权房地产投资信托发行的股票，追踪Mrgon Stanley Capital International US REIT Index,-,-,-,NYSE,-,339.23亿,4.10亿,-,0.72%,5.16%,-
7401,Xerium Technologies,XRM,US,-8.63,http://www.xerium.com,0.99%,-/-,"Xerium Technologies, Inc., headquartered in Raleigh, North Carolina, is a global manufacturer and supplier of two types of consumable products used in paper production - machine clothing and roll covers for papermaking machines.",3.93,-,-,NYSE,-,1.14亿,1616.80万,纺织业,0.04%,57.93%,-0.82
7402,盈透证券,IBKR,US,14.66,http://www.interactivebrokers.com,1.23%,26.45/23.75,"盈透有限公司是全球最大的专业网上交易券商之一。由董事长兼首席执行官Thomas Peterffy于1977年创建。在全球70多个市场中心进行经纪代理、庄家及自营等交易操作。在经纪代理业务中，IB为机构和专业的交易人员提供种类繁多的电子交易产品的直接进场（在线）交易的下单执行和结算服务。这些电子交易产品包括了全球的期权、期货、股票、外汇和债券(资讯,行情)业务。2009年5月该公司在纳斯达克上市。",11.28,-,-,NASDAQ,-,143.04亿,4.10亿,投资中介/国内,0.08%,82.00%,2.38
7403,再生元制药,REGN,US,46.09,http://www.regeneron.com,1.18%,40.56/55.74,Regeneron Pharmaceuticals Inc (NASDAQ：REGN)是美国一家制药公司。,2.82,-,-,NASDAQ,-,481.18亿,1.04亿,生物技术,0.55%,77.94%,10.01
7404,"Airgain, Inc. Common Stock",AIRG,US,4.83,-,2.51%,-/11.07,-,2.37,-,-,NASDAQ,-,1.33亿,952.00万,-,0.68%,-,2.89
7405,ALGONQUIN PWR&UTIL COM NPV,AQN,US,4.58,-,1.37%,31.34/31.03,-,15.07,-,-,NYSE,-,39.39亿,3.85亿,-,0.02%,-,2.24
7406,阿根廷ETF-Global X,ARGT,US,-,-,0.73%,-/-,"ARGT,Global X旗下的阿根廷ETF，该ETF正向追踪MSCI All Argentina 25/50 指数，标的成分主要为在布宜诺斯艾利斯证券交易所上市交易的股票，倾向于投资金融、能源及科技公司。更多资料可查询：https://www.etf.com/ARGT",-,-,-,NYSE,-,1.63亿,537.50万,-,1.48%,-,-
7407,奥科,AUDC,US,3.29,-,2.63%,18.64/13.41,-,0.15,-,-,NASDAQ,-,2.17亿,3178.40万,通讯设备,0.17%,16.94%,2.08
7408,American Vanguard,AVD,US,9.65,-,2.01%,61.55/37.93,-,9.29,-,-,NYSE,-,5.20亿,2978.30万,农用化学品,0.25%,78.84%,1.81
7409,安达保险,CB,US,105.35,-,0.83%,13.09/13.61,美国丘博保险集团（CB）是美国四大上市保险公司之一，是全球最大的非寿险保险公司之一，集团的总收入在世界保险机构位于前10位。集团旗下子公司—美国联邦保险于2000年9月在上海正式营业，主要经营财产及责任保险业务。,4.34,-,-,NYSE,-,652.57亿,4.67亿,财产与责任保险,0.24%,78.44%,1.33
7410,Capitol Federal Financial,CFFN,US,10.30,http://www.capfed.com,1.22%,21.56/22.47,"Capitol Federal is the premier residential lender in Kansas and boasts more than $8 billion in assets.  In addition to single-family residential lending, construction loans and other consumer loans, Capitol Federal offers a variety of retail deposit accounts, including checking, savings, money market, IRA and certificates of deposit.  With 35 traditional branches and 10 in-store locations, the Bank has a network that extends across the state of Kansas. 

CapFed was founded in 1893 and is headquartered in Topeka, Kansas.",9.57,-,-,NASDAQ,-,19.25亿,1.38亿,存贷款服务,0.30%,77.00%,1.36
7411,科尔.马克控股,CORE,US,11.35,http://www.core-mark.com/,1.82%,30.42/31.62,"Core-Mark is one of the largest and most valued marketers of fresh and broad-line supply solutions to the convenience retail industry.

Offering a full range of products, marketing programs and technology solutions to over 26,000 locations across North America, Core-Mark services traditional convenience stores, drug, grocery and specialty stores and other small format retailers that sell consumer packaged goods.",6.80,-,-,NASDAQ,-,16.11亿,4631.90万,食品批发,0.66%,92.47%,3.06
7412,新兴市场高股息ETF-WisdomTree,DEM,US,-,http://www.wisdomtree.com,0.39%,-/-,"DEM,WisdomTree旗下的中东国家ETF,该ETF正向追踪WisdomTree Emerging Markets High Dividend 指数，投资标的为上一年度周期中支付至少500万美元现金股利，资本金至少为2亿美元的新兴市场企业，倾向于投资金融、能源及电信服务公司。更多资料可查询：https://www.etf.com/DEM",-,-,-,NYSE,-,17.84亿,4360.00万,-,0.51%,44.00%,-
7413,PowerShares S&P Emerging Markets Momentum Portfolio,EEMO,US,-,-,0.58%,-/-,-,-,-,-,NYSE,-,172.60万,10.00万,-,59.97%,-,-
7414,Western Asset Global High Inco,EHI,US,-,-,0.39%,-/9.97,-,-,-,-,NYSE,-,4.60亿,4524.20万,-,0.14%,18.65%,0.94
7415,埃斯朗,ELON,US,5.41,-,4.14%,-/-,"Echelon Corporation (NASDAQ: ELON) is leading the worldwide transformation of the electricity grid into a smart, communicating energy control network, connecting utilities to their customers, enabling networking of everyday devices, and providing customers with energy-aware homes and businesses that react to conditions on the grid.",2.11,-,-,NASDAQ,-,3113.84万,444.20万,网络与通信设备,0.12%,24.00%,1.30
7416,亚太,ETF-iShares,US,-,-,0.31%,-/41.25,-,-,-,-,除日本,-,29.25亿,6570.00万,-,0.54%,-,-
7417,欧元2X做空-ProShares,EUO,US,-,-,0.83%,-/-,-,-,-,-,NYSE,-,2.59亿,1075.00万,-,3.03%,-,-
7418,瑞士ETF-iShares MSCI,EWL,US,-,-,0.49%,-/-,"EWL,黑石联手安硕推出的瑞士ETF，该ETF正向追踪MSCI Switzerland 25/50 指数，标的成分为在苏黎世证券交易所上市交易的非小盘股票，倾向于投资医疗保健、消费品及金融类公司。更多资料可查询：https://www.etf.com/EWL",-,-,-,NYSE,-,11.91亿,3400.00万,-,5.97%,0.01%,-
7419,Fidelity MSCI Materials ETF,FMAT,US,-,-,0.72%,-/-,-,-,-,-,NYSE,-,2.11亿,695.00万,-,0.39%,-,-
7420,CLOUGH GLOBAL OPPORTUNITIES,GLO,US,-,-,0.67%,-/40.65,-,-,-,-,AMEX,-,5.38亿,5155.90万,-,0.26%,30.49%,0.94
7421,格拉德斯通商业,GOOD,US,9.38,-,0.89%,-/-,-,7.28,-,-,NASDAQ,-,5.12亿,2519.50万,物业管理,0.61%,52.71%,2.17
7422,高盛-优先股J,GS-J,US,-,-,0.58%,-/-,-,-,-,-,NYSE,-,10.97亿,4000.00万,-,0.08%,-,-
7423,UBS AG LONDON BRH,HDLV,US,-,-,1.38%,-/-,-,-,-,-,NYSE,-,2181.47万,71.50万,-,0.76%,-,-
7424,PowerShares KBW High Div Yld Fincl ETF,KBWD,US,-,-,0.76%,-/-,-,-,-,-,NASDAQ,-,2.88亿,1225.00万,-,0.99%,-,-
7425,礼恩派,LEG,US,8.04,-,0.84%,21.25/19.66,-,10.43,-,-,NYSE,-,67.87亿,1.32亿,家具及配件,0.41%,69.21%,6.38
7426,L-3通讯,LLL,US,60.89,-,1.46%,16.92/20.18,-,4.59,-,-,NYSE,-,128.86亿,7787.70万,航空/国防-产品及服务,0.70%,76.40%,2.72
7427,第三级通讯,LVLT,US,30.71,-,0.99%,33.60/33.34,-,2.37,-,-,NYSE,-,215.64亿,3.61亿,综合通信服务,0.31%,83.36%,1.95
7428,麦哲伦健康服务,MGLN,US,47.71,-,1.50%,23.36/69.16,-,0.92,-,-,NASDAQ,-,16.57亿,2371.70万,卫生保健计划,0.25%,94.03%,1.46
7429,毛伊岛菠萝食品,MLP,US,1.26,-,4.94%,-/11.24,-,0.78,-,-,NYSE,-,3.27亿,1901.20万,食品加工,0.17%,15.27%,13.41
7430,MasTec ,MTZ,US,14.12,-,4.98%,13.46/19.53,-,3.73,-,-,NYSE,-,34.57亿,8270.90万,大型工程,1.77%,84.26%,2.96
7431,纽文马萨诸塞市保基金,NMT,US,-,-,0.14%,-/15.68,-,-,-,-,NYSE,-,1.29亿,934.70万,封闭式基金/债务,0.04%,4.02%,0.96
7432,豪士科卡车,OSK,US,27.18,http://www.oshkoshcorporation.com,2.03%,11.47/23.21,Oshkosh Corp 是美国一家卡车制造商；总部位于威斯康星州。,8.71,-,-,NYSE,-,48.62亿,7479.50万,卡车及其它车辆,0.69%,82.47%,2.39
7433,PFSweb ,PFSW,US,1.91,-,4.09%,-/-,-,7.32,-,-,NASDAQ,-,1.29亿,1882.90万,商业服务,0.30%,53.15%,3.59
7434,君豪娱乐,RGC,US,-5.28,-,1.60%,23.17/18.07,-,13.65,-,-,NYSE,-,27.46亿,1.33亿,电影制作及影院,1.61%,55.65%,-3.88
7435,Global X Scientific Beta Asia ex-Japan ETF,SCIX,US,-,-,-,-/26.76,-,-,-,-,NYSE,-,358.44万,15.00万,-,0.47%,-,-
7436,SYNERGY PHARMACEUTICALS DEL,SGYP,US,0.46,-,5.09%,-/-,-,8.86,-,-,NASDAQ,-,8.84亿,2.25亿,-,2.77%,41.00%,8.54
7437,Sterling Construction,STRL,US,4.22,-,3.80%,-/-,-,2.44,-,-,NASDAQ,-,2.70亿,2697.70万,大型工程,0.85%,80.17%,2.37
7438,SunCoke Energy Partners,SXCP,US,11.94,-,5.53%,13.45/-,-,1.05,-,-,NYSE,-,7.60亿,4622.10万,-,0.79%,66.00%,1.38
7439,Titan Machinery,TITN,US,15.06,-,2.07%,82.24/-,-,21.78,-,-,NASDAQ,-,3.37亿,2183.90万,特色零售及其他,0.23%,88.00%,1.03
7440,URBAN EDGE PPTYS,UE,US,4.91,-,1.31%,-/19.99,-,10.44,-,-,NYSE,-,26.23亿,1.08亿,-,0.51%,26.00%,4.97
7441,Vonage Holdings ,VG,US,2.02,-,3.70%,18.65/108.00,-,3.04,-,-,NYSE,-,14.39亿,2.22亿,综合通信服务,2.44%,63.82%,3.35
7442,Voya Financial,VOYA,US,67.87,-,1.26%,14.12/-,-,0.82,-,-,NYSE,-,65.12亿,1.86亿,-,0.16%,84.00%,0.52
7443,VISHAY PRECISION GROUP INC,VPG,US,13.23,-,2.51%,-/29.92,-,4.14,-,-,NYSE,-,2.19亿,1219.30万,-,0.21%,81.00%,1.36
7444,AquaVenture Holdings Limited,WAAS,US,13.80,-,1.51%,-/-,-,8.82,-,-,NYSE,-,4.55亿,2640.90万,-,0.18%,-,1.23
7445,WAFERGEN BIO-SYSTEMS INC,WGBS,US,0.38,-,-,-/-,-,1.71,-,-,NASDAQ,-,2612.03万,378.60万,-,-,7.00%,18.16
7446,Wheaton Precious Metals Corp.,WPM,US,11.27,-,4.07%,-/47.47,-,-,-,-,NYSE,-,94.37亿,4.42亿,-,0.56%,-,1.90
7447,速汇金国际,MGI,US,-3.69,https://www.moneygram.com,2.29%,8.42/37.80,速汇金是仅次于西联汇款的全球第二大汇款机构，目前在全球190多个国家和地区拥有近20万个网点。,1.40,-,-,NASDAQ,-,9.19亿,5402.30万,商业服务,2.74%,89.01%,-4.72
7448,亚洲,ETF-iShares,US,-,-,0.35%,-/-,"AAXJ,黑石联手安硕推出的亚洲（除日本）ETF，该ETF正向追踪MSCI AC Asia ex Japan指数，其标的成分为来自10个发达和新兴市场的国家和地区的大中型企业（中国，香港，印度，印度尼西亚，马来西亚，菲律宾，新加坡，韩国，台湾和泰国），投资主要集中在金融、工业、科技类等公司。更多资料可查询：https://www.etf.com/AAXJ",-,-,-,除日本,-,33.31亿,5000.00万,-,1.42%,34.00%,-
7449,ARES COML REAL ESTATE CORP,ACRE,US,14.68,-,0.99%,14.82/13.83,-,1.23,-,-,NYSE,-,3.74亿,2848.30万,-,0.19%,66.00%,0.90
7450,巴雷特商业服务,BBSI,US,7.93,-,1.23%,11.20/26.44,-,1.62,-,-,NASDAQ,-,4.14亿,725.20万,人事和外包服务,0.05%,62.33%,7.20
7451,BLACKSTONE GSO LNG SHRT CR I,BGX,US,-,-,0.54%,-/-,-,-,-,-,NYSE,-,2.10亿,1270.20万,-,0.68%,61.00%,-
7452,BENEFITFOCUS INC,BNFT,US,-1.11,-,2.41%,-/-,-,10.63,-,-,NASDAQ,-,9.65亿,3104.30万,-,0.42%,91.00%,-28.11
7453,"Care Capital Properties, Inc.",CCP,US,14.09,-,1.80%,-/14.79,-,8.75,-,-,NYSE,-,23.37亿,8405.00万,-,2.88%,-,1.98
7454,CAPITAL ONE FINL CORP,COF-C,US,-,-,0.34%,-/-,-,-,-,-,NYSE,-,5.27亿,2000.00万,-,0.10%,-,-
7455,COOPER STD HLDGS INC,CPS,US,41.67,-,1.12%,12.83/13.53,-,3.27,-,-,NYSE,-,19.21亿,1785.80万,-,0.49%,103.00%,2.58
7456,US Ecology,ECOL,US,13.00,-,1.68%,22.77/34.32,"US Ecology, a subsidiary of US Ecology, Inc. (Nasdaq: ECOL) has provided radioactive waste services since 1952, and hazardous waste services since 1968.",9.11,-,-,NASDAQ,-,11.01亿,2182.30万,废物处理,0.28%,87.63%,3.88
7457,FOX FACTORY HLDG CORP,FOXF,US,5.39,-,2.01%,18.30/28.88,-,3.77,-,-,NASDAQ,-,12.05亿,3725.20万,-,0.45%,50.00%,6.07
7458,SPDR S&P Emerging Markets ETF,GMM,US,-,-,0.39%,-/-,-,-,-,-,NYSE,-,3.85亿,580.00万,-,0.17%,-,-
